"Code","Country","Continent","Date","NewCases","NewDeaths","Recovered","NewTests","Population","GDP","GDPCapita","Month","Week","CumCases","CumDeaths","CumRecovered","CumTests","Active","FatalityRate","Cases_1M_Pop","Deaths_1M_Pop","Recovered_1M_Pop","Tests_1M_Pop"
"AFG","Afghanistan","Asia",2020-05-05,190,5,0,0,37172386,21992,619,5,18,2894,90,0,0,2804,3.10988251554941,77.8534904915708,2.42115208854229,0,0
"ALB","Albania","Europe",2020-05-05,8,0,0,0,2866376,13039,4450,5,18,803,31,0,0,772,3.86052303860523,280.144684437771,10.8150500841481,0,0
"DZA","Algeria","Africa",2020-05-05,174,2,0,0,42228429,167555,4055,5,18,4648,465,0,0,4183,10.0043029259897,110.068030236218,11.0115391695012,0,0
"AND","Andorra","Europe",2020-05-05,2,0,0,0,77006,3278,39153,5,18,750,45,0,0,705,6,9739.50081811807,584.370049087084,0,0
"AGO","Angola","Africa",2020-05-05,0,0,0,0,30809762,126505,4247,5,18,35,2,0,0,33,5.71428571428571,1.13600358224124,0.0649144904137851,0,0
"AIA","Anguilla","North America",2020-05-05,0,0,0,0,14731,311,29493,5,18,3,0,0,0,3,0,203.652162107121,0,0,0
"ATG","Antigua and Barbuda","North America",2020-05-05,0,0,0,0,96286,1248,14803,5,18,25,3,0,0,22,12,259.643146459506,31.1571775751407,0,0
"ARG","Argentina","South America",2020-05-05,104,14,0,0,44494502,637486,14400,5,18,4874,260,0,58685,4614,5.33442757488716,109.541623816803,5.84341858686271,0,1318.92699911553
"ARM","Armenia","Europe",2020-05-05,121,4,0,0,2951776,11536,3937,5,18,2507,39,0,0,2468,1.5556441962505,849.319189531997,13.2123846795963,0,0
"ABW","Aruba","North America",2020-05-05,0,0,0,0,105845,2664,25655,5,18,100,2,0,0,98,2,944.777741036421,18.8955548207284,0,0
"AUS","Australia","Oceania",2020-05-05,24,0,0,14542,24992369,1408675,57613,5,18,6825,95,0,664756,6730,1.39194139194139,273.083355963574,3.80116026615964,0,26598.3588830655
"AUT","Austria","Europe",2020-05-05,24,2,0,6812,8847037,416835,47718,5,18,15621,600,0,285883,15021,3.84098329172268,1765.6758980436,67.8193162298293,0,32313.9826362205
"AZE","Azerbaijan","Europe",2020-05-05,52,1,0,0,9942334,40748,4146,5,18,1984,26,0,0,1958,1.31048387096774,199.550729235208,2.61508012102591,0,0
"BHS","Bahamas","North America",2020-05-05,0,0,0,0,385640,11791,29825,5,18,83,11,0,0,72,13.2530120481928,215.226636241054,28.5240120319469,0,0
"BHR","Bahrain","Asia",2020-05-05,150,0,0,5915,1569439,35325,23688,5,18,3533,8,0,155501,3525,0.226436456269459,2251.12285345273,5.0973628156303,0,99080.6268991659
"BGD","Bangladesh","Asia",2020-05-05,688,5,0,5705,161356039,254646,1492,5,18,10143,182,0,93403,9961,1.79434092477571,62.8609878059786,1.12794042992094,0,578.86274712036
"BRB","Barbados","North America",2020-05-05,0,0,0,0,286641,4353,16494,5,18,82,7,0,0,75,8.53658536585366,286.07212506236,24.42079116386,0,0
